poyvi,gn
ohupytýva,gn
okakuaágui,gn
ñandepype,gn
juramento,es
medicación,es
mba'eva,gn
imputado,es
cuartel,es
duelo,es
omomba'eguasúva,gn
antidengue,es
dominio,es
porã,gn
negativo,es
omoñemuña,gn
osununu,gn
corto,es
eipotapio,gn
ipori,gn
oje'eniko,gn
mba'ere,gn
nderekoi,gn
grande,es
precisión,es
compacto,es
contrabandista,es
hipotenusa,es
parciales,es
hi'upyrã,gn
opávave,gn
oñemoañeete,gn
oguerekòva,gn
sinceros,es
hekoha,gn
fineza,es
estructural,es
rechávo,gn
ñati'u,gn
ndapori,gn
ojekuaava'erã,gn
ha'usete,gn
oguenohẽ,gn
jaipuru,gn
aikema,gn
experiencia,es
tekojoavy,gn
metrobuas,es
omomarandúkuri,gn
añe'ese,gn
ndeitavya,gn
reclama,es
crecida,es
vienen,es
ko'ãtapicha,gn
ijeguata,gn
oipe'aségui,gn
iniciamos,es
roban,es
huelga,es
tojehai,gn
motivo,es
computadora,es
eremina,gn
katueténte,gn
peichamínte,gn
urgencias,es
oñemombe'úva,gn
fumo,es
rekutú'ỹre,gn
cofundadora,es
fantástico,es
senadora,es
hesegua,gn
perõ,gn
hendaguépe,gn
ombohapévo,gn
emyenyhẽmína,gn
usa,es
madre,es
revolución,es
ha'eño,gn
araẽ,gn
ojeguerohorýva,gn
vaíva,gn
g̃uarã,gn
ereko,gn
oikotáva,gn
oipy'apýva,gn
portate,es
rato,es
tragar,es
daleee,es
ha'eta,gn
omoneĩ,gn
lkatuete,gn
hembiaporã,gn
ndaareiete,gn
nombramiento,es
práctica,es
oñemoñe'ẽ,gn
jepi,gn
mencionado,es
nacionalismo,es
cantaste,es
arapokõindy,gn
tercer,es
tembiasa,gn
apoyo,es
interna,es
computación,es
pehechami,gn
pedazo,es
mandioca,es
angaité,gn
cuatro,es
devicio,es
declaraciones,es
temazo,es
he'use,gn
representa,es
ñe'ẽpapára,gn
ha'ente,gn
retirando,es
adquisición,es
ojehechaháicha,gn
camionero,es
minihospital,es
contratada,es
oñomo,gn
haeteva,gn
reclamo,es
raro,es
pureza,es
añereipaminte,gn
maldición,es
sai,gn
jesareko,gn
bonos,es
ena,gn
todavía,es
ohakuéra,gn
validación,es
karumbéicha,gn
sufro,es
marandu'asãihára,gn
mbohuparõ,gn
abatida,es
ecuménica,es
orto,es
aguahẽ,gn
clausura,es
kurepi,gn
naipori,gn
burbuja,es
oñemohu'ãl,gn
oguerekóma,gn
levante,es
omba'apóva,gn
oñemoañete,gn
normativización,es
ame'eta,gn
nombohapéiva'erã,gn
ñemoñare,gn
sangrienta,es
ika'aguy,gn
hilo,es
temboooooo,gn
ojeike,gn
ndaikuuai,gn
propuesto,es
noĩporãha,gn
ndehegui,gn
audio,es
techapyrã,gn
oñemohu'ãta,gn
garrafa,es
afectada,es
bidón,es
prefiero,es
feaaaaaa,es
chedeveha,gn
panadería,es
mascada,es
sale,es
azulgrana,es
karrulim,gn
plagaaaaa,es
preferencia,es
oñemotenondévo,gn
ombosako'íva,gn
operador,es
ñyrõ,gn
simposio,es
ndodeví,gn
fecha,es
lealtad,es
alimento,es
sinvergüenzas,es
kamba'i,gn
mboriahumíme,gn
nulidad,es
hasýgui,gn
locomotora,es
hovy,gn
iberoamericana,es
po,gn
certificación,es
obrero,es
tembokuerandi,gn
urbano,es
bicisafari,es
omoambue,gn
ovy'áta,gn
chaqueño,es
evento,es
tataindy,gn
ehai,gn
rayhupápe,gn
somos,es
jahéi,gn
autorizado,es
inconstitucionalidad,es
payaso,es
operación,es
relatos,es
mapa,es
guita,es
cañón,es
omoĩrũ,gn
directores,es
abierta,es
biodiversidad,es
eha'ãke,gn
tapichápe,gn
ndone'ẽporãi,gn
juradas,es
pais,es
investigadores,es
lechuguita,es
padre,es
oñe'e,gn
injerencia,es
myakãhára,gn
jukata,gn
rapò,gn
ciclismo,es
amedrentamiento,es
ohasavahína,gn
revisión,es
gui,gn
análisis,es
ha'emínte,gn
imomorãmby,gn
lanza,es
marcha,es
criollíta,es
exclusión,es
pinta,es
postura,es
aguaratata,gn
tasa,es
aha'ãrõ,gn
oikohápe,gn
arareñói,gn
perecedero,es
chistoso,es
oikótaha,gn
combatamos,es
ñe'ẽ,gn
jehepyme'ẽ,gn
ysope,gn
consolidación,es
viaje,es
sa'i,gn
creer,es
azulejo,es
interviniente,es
avañe'ẽ,gn
presunción,es
sanado,es
sasõ,gn
ka'aguýpe,gn
oimé,gn
vyro,gn
omonéĩvo,gn
oviedista,es
boletero,es
oañuãva,gn
adelante,es
he'ígui,gn
ko'ẽju,gn
predio,es
dijiste,es
oganáva,gn
ogapýgui,gn
hekoitépe,gn
administrador,es
romyasãi,gn
ropuka,gn
raza,es
mbytépee,gn
jeroviápe,gn
ojoráma,gn
narcotraficante,es
ñe'embuku,gn
dónde,es
aprendí,es
oipe'a,gn
hembireko,gn
narco,es
chutai,gn
opareima,gn
arpa,es
himno,es
alias,es
puesto,es
prohibición,es
ko'ág̃a,gn
ndojehekáigui,gn
ojejávo,gn
signo,es
omokyre'ỹha,gn
ombyaígui,gn
estúpida,es
fronteriza,es
peme'ẽmbaite,gn
abrís,es
ñemboyke,gn
resa,gn
oñangarekóvo,gn
tuvicha,gn
ohasapama,gn
ndorekói,gn
vísi,gn
kalidaiterei,gn
jabón,es
ajeno,es
añekuaa,gn
tasyo,gn
ajépa,gn
ñembotavy,gn
hetereíva,gn
cronograma,es
añeteguáva,gn
recepción,es
sexual,es
excandidato,es
música,es
jagua,gn
habilitación,es
brasilero,es
oñemokyre'ỹ,gn
escolar,es
lingüísticos,es
sindicalizado,es
manifestaciones,es
matemática,es
neardental,es
ñañepysyrõ,gn
perdón,es
ñuhã,gn
pya'ete,gn
oñomoirũ,gn
serenata,es
ka'avokuéra,gn
tres,es
chembovy'a,gn
jahovasava'erã,gn
apuñalado,es
ojupi'ímivo,gn
bala,es
congregación,es
celebramos,es
borra,es
plátano,es
péicha,gn
batiburrillo,es
opáicha,gn
sinvergüenza,es
estudios,es
kuri,gn
sigue,es
yvyráva,gn
orgánica,es
omombe'úva,gn
omomaiteíta,gn
tuichavéva,gn
chekueraiiii,gn
omopyendátaha,gn
básicamente,es
exposición,es
ndahechái,gn
omoañetèvo,gn
ombohetave,gn
asunto,es
oñemyatyrõ,gn
oporojuka,gn
episcopal,es
científica,es
katuete,gn
chemo,gn
remikotevẽ,gn
jopara,gn
crimen,es
omombaretekuaátava,gn
despecho,es
temporalmente,es
vicario,es
ndaipu,gn
ejemplos,es
sequía,es
pa'ũ,gn
hetekuéra,gn
jeývo,gn
apañuãime,gn
decis,es
auténtica,es
relojes,es
realizará,es
oguahẽma,gn
bronce,es
amandaje,gn
jugo,es
ñemombia,gn
resaraipama,gn
cómo,es
omýi,gn
gritan,es
ponedoras,es
trenzado,es
lomomaitei,gn
criollo,es
ohecháva,gn
motocicleta,es
amog̃uahẽ,gn
orehegui,gn
sumamos,es
omoaguĩvo,gn
sykuéra,gn
italiano,es
cafe,es
noĩrĩvape,gn
arroz,es
irresponsable,es
rekovia,gn
representación,es
canela,es
paguayo,es
cocido,es
ojehupyty,gn
iñangirũme,gn
dormis,es
pucho,es
accionante,es
karu,gn
moñái,gn
ejapiro,gn
rembo,gn
administrativas,es
ensayos,es
peligro,es
quieren,es
iorekóha,gn
padres,es
coima,es
automovilista,es
desenvestido,es
pe'ẽ,gn
contribuyente,es
hincapié,es
soberanía,es
conteo,es
conducción,es
poguýpe,gn
ridiculaaaaaaaa,es
jacarandá,es
omebosako'i,gn
carita,es
meme,es
comé,es
jornadas,es
arresto,es
micro,es
arco,es
pasaporte,es
paraguayas,es
rey,es
miro,es
ky'a,gn
bueeee,es
latino,es
ogueru,gn
receptor,es
apyka,gn
expo,es
ciento,es
igustove,gn
reína,gn
kuaa,gn
omohendápe,gn
avende,gn
omombe'ú,gn
sãso,gn
burro,es
tendría,es
añekuaase,gn
cigarrillo,es
epena,gn
remboooo,gn
oñepyruma,gn
hacele,es
pasa,es
orrendi,gn
añemechũpeguare,gn
cállate,es
mba'ekuaa,gn
costillante,es
mba'éva,gn
ombovévedeve,gn
opyru'ỹre,gn
ouva,gn
akhuaase,gn
contravención,es
crack,es
ñañase,gn
réra,gn
aseguran,es
tendido,es
amoite,gn
propiedad,es
omyesakãva,gn
omboguataséva,gn
salen,es
viruryru,gn
orekóya,gn
namombyrýiva,gn
ojekuaavéhina,gn
tavyo,gn
vacación,es
tekovéngo,gn
señora,es
ha'evére,gn
peẽme,gn
sapatilla,gn
verde,es
kaso,gn
todas,es
litoral,es
tavapype,gn
poha,gn
eve,gn
habilitado,es
añeha'ãmbaiteko,gn
expresidiario,es
irũ,gn
ecuatoriano,es
petición,es
fotográfica,es
ikatúta,gn
omboguata,gn
iñe'ẽngúva,gn
microrrelato,es
oĩha,gn
preventiva,es
oha'ãrõ,gn
ko'ãgã,gn
roga,gn
ndechika'icha,gn
jasyapy1,gn
adolescente,es
ndéve,gn
kuaaí,gn
oha'ãrõvo,gn
bache,es
puka,gn
soldado,es
allí,es
lago,es
mbaeve,gn
ko'ãnga,gn
bendecir,es
mariachi,es
comicial,es
nuevo,es
ubiqué,es
ndaipóriva,gn
paralelo,es
ojesareko,gn
falopero,es
ancestrales,es
ehona,gn
próspero,es
omohendáva,gn
ejerure,gn
oñeñongatu,gn
libros,es
pakova,gn
trébol,es
desafía,es
pópe,gn
literatura,es
tavyy,gn
ojehepyme'ẽ,gn
encargada,es
ñemombaretépe,gn
tuviste,es
presunto,es
sarambi,gn
contemplado,es
oipytyvõ,gn
tengas,es
mba'aporã,gn
okañy,gn
ogueroguata,gn
elemento,es
formalización,es
traducción,es
corta,es
socialización,es
oñemoañetéva,gn
tratado,es
ikatéva,gn
káusa,gn
ombohasa,gn
oñatendeva'erã,gn
omyakava,gn
sexo,es
organiza,es
decimos,es
esquivando,es
cobarde,es
ganó,es
remboyke,gn
sapatu,gn
omanóva,gn
financiado,es
cualitativo,es
chera'a,gn
ijaramanteva'erã,gn
poguýgui,gn
ipya'éva,gn
ijapyra'ỹva,gn
circunstancia,es
oĩrõ,gn
remboguejy,gn
ohapykuehóvape,gn
mediana,es
ararenói,gn
campañero,es
ndema,gn
salmón,es
literarios,es
terapeutas,es
listado,es
eja'o,gn
días,es
ohechakuaáva,gn
operativo,es
alumbrado,es
iñirũ,gn
ojupívo,gn
opurahéiva,gn
hyapuhatãvéva,gn
cuotas,es
documentaciones,es
ojeikohápe,gn
costanera,es
repyme'ẽha,gn
recinto,es
ataviado,es
ojeheróva,gn
ojapete,gn
veterano,es
oficial,es
fortaleció,es
ferrocarril,es
ohaíva,gn
entre,es
abundante,es
evidencia,es
frío,es
ojupi,gn
ñe'ẽte,gn
vecina,es
pollito,es
salto,es
argelrã,gn
biométrico,es
legado,es
columna,es
ñanembovy'a,gn
inauguración,es
mensura,es
ko'ãvape,gn
oiméma,gn
kambýre,gn
planificación,es
ha'éngo,gn
raku,gn
ndorekóiha,gn
ombyepoti,gn
sugestivamente,es
ikomái,gn
ojoajúva,gn
orekòvo,gn
particulares,es
fútbol,es
careta,es
añetépa,gn
clan,es
pya'etéva,gn
sé,es
moakãharapavẽ,gn
noñemotenondéi,gn
útiles,es
pehecha,gn
actualización,es
hasẽ,gn
yvýre,gn
ellos,es
ohapejokóva,gn
oñemanteneva'erã,gn
ipiruu,gn
os,es
dame,es
renondépe,gn
ojeróva,gn
rayhu,gn
oñembo'éta,gn
vocera,es
peteī,gn
políticamente,es
acentito,es
toñomyengovia,gn
poblador,es
kane'õ,gn
okáipa,gn
oñeipytyvõ,gn
soberano,es
hebreo,es
galletita,es
ku,gn
ijehaípe,gn
compromiso,es
sonido,es
dibuje,es
harina,es
ojekuaavéva,gn
gradual,es
derécho,gn
napemoi,gn
ejercicio,es
divergencia,es
inocencia,es
ombohováiva,gn
iporāiterei,gn
derroche,es
desgracia,es
imba'apohápe,gn
centenar,es
obviamente,es
omoakãta,gn
oñeporanu,gn
higiénico,es
hablas,es
culturas,es
lingotes,es
pohyi,gn
omohapéva,gn
avave,gn
chákore,gn
perpetuo,es
afectado,es
víveres,es
haku,gn
elector,es
sapy'ante,gn
ñaneretãme,gn
esperaba,es
directamente,es
comisionada,es
turista,es
ojuka,gn
intersectorial,es
sa'ary'aty,gn
ndaipori,gn
estriado,es
oguejýva,gn
videojuego,es
mbaerrpa,gn
mal,es
síntoma,es
contigo,es
penderevikuape,gn
fuera,es
confitería,es
iposhy,gn
ndaiporiveimái,gn
parada,es
fanático,es
multiuso,es
loco,es
supuestamente,es
aháta,gn
cree,es
ojehukuri,gn
tetãnguéra,gn
iporāba,gn
bobo,es
romotenonde,gn
ombyatýva,gn
stalkea,es
autógrafo,es
dramaturgia,es
tragedia,es
mba'epa,gn
posteo,es
acusatorio,es
locas,es
ykua,gn
puso,es
eke,gn
dispersión,es
ko'ape,gn
rodado,es
eñe'ẽmi,gn
sabandija,es
omokarẽvo,gn
embaraze,es
añe,gn
éxitos,es
itúvakuéra,gn
llevarme,es
jekupytyjoja,gn
presentándose,es
mami,es
escuchanos,es
jardin,es
locooo,es
mo'ãiha,gn
guasu,gn
sofá,es
haciendo,es
eñe'e,gn
parentela,es
beca,es
etiquetado,es
vencimiento,es
ñemombe'u,gn
efecto,es
jakare,gn
ta'imbarete,gn
péichagua,gn
ojoajúvo,gn
magistratura,es
mitã,gn
jukataaaa,gn
doctor,es
inmediata,es
mombay,gn
ndoikuaái,gn
ojeho,gn
temiandu,gn
hegui,gn
pohayhuetéva,gn
veces,es
oñandupaite,gn
remimbyasy,gn
mba'apo,gn
añepysãnga,gn
trapo,es
kapi'i,gn
ohayhúva,gn
oguenohẽva,gn
oikuaa'ỹre,gn
ipópe,gn
ñanera'arõ,gn
suplente,es
reĩ,gn
teviremoi,gn
ojejuka,gn
ñemuháme,gn
ndojeruréi,gn
página,es
rendimiento,es
onombráva,gn
ome'ẽ,gn
publicación,es
automáticamente,es
llaman,es
urgente,es
ovecha,gn
upe'i,gn
oñeinskriviva'erã,gn
hepyveva'erã,gn
margen,es
oikopava,gn
presentación,es
convoy,es
rejavy,gn
casona,es
mueran,es
tembiasakue,gn
aipytyvõ,gn
joja'ỹ,gn
pienso,es
cae,es
romoñepyrũta,gn
omoapasusũ,gn
estatus,es
embojo,gn
navegador,es
abrite,es
ko'ẽrõ,gn
ko'aga,gn
dorado,es
larga,es
otakýva,gn
ajeporeka,gn
frentista,es
ñe'enga,gn
avevo,gn
kakuaaite,gn
conflictos,es
estúpido,es
helicóptero,es
okondenágui,gn
koẽrõ,gn
pandulce,es
oñembohéra,gn
docentes,es
periódico,es
okúiva,gn
malos,es
músico,es
oñe'ẽkuri,gn
tanimbu,gn
herakuãva'ekue,gn
oñeha'ãrõ,gn
oñemoambuévo,gn
porãve,gn
negro,es
volumen,es
oprekóvape,gn
difícil,es
llega,es
avanzado,es
juru,gn
oimboja,gn
itúva,gn
juzgado,es
hesukirito,gn
papel,es
jeike,gn
tñava,gn
ñaaaraaakoopeguaree,gn
papacito,es
hi'aguyje,gn
sindicado,es
ñare,gn
carpa,es
adiooos,es
vividores,es
aguarápe,gn
normal,es
oiporúha,gn
hae,gn
héra,gn
hetaite,gn
oñemohendáva,gn
ñanẽ,gn
temboooo,gn
prudente,es
malaria,es
colectivero,es
franqueza,es
financiero,es
míchĩvea,gn
crítico,es
votación,es
ehasape,gn
ojegueromandu'áta,gn
oñemopu'ã,gn
reconocimiento,es
marihuana,es
ndajahapukúi,gn
campesina,es
plazo,es
reglamentaria,es
akirirĩma,gn
eni,gn
ndahi'aréi,gn
invitación,es
vocero,es
pirimba,gn
kurupi,gn
crecimiento,es
prisión,es
instantes,es
marca,es
roiméma,gn
ojito,es
oiporavo,gn
sindicatos,es
esero,gn
japoina,gn
ohechatáva,gn
upeicha,gn
vy'a,gn
purory,gn
ho'ata,gn
eimo'ã,gn
tuvimos,es
opalaja,gn
avañe'ẽme,gn
seminario,es
rejapóva,gn
merienda,es
omopu'ãva,gn
energía,es
apertura,es
jaryipe,gn
sakuaju,gn
satisfecho,es
ventanilla,es
discreto,es
eñembotavy,gn
paradójica,es
omoherakuãvo,gn
incumplimiento,es
ohecha,gn
omoañte,gn
preciosa,es
jeporu,gn
diablitas,es
vigilancia,es
paciente,es
oipykúiva,gn
omosarambi,gn
gratuito,es
oñemyesakã,gn
fuerte,es
evo,gn
fórmula,es
toca,es
desbloqueo,es
jaiporúva,gn
crédito,es
guarambarépe,gn
peje'uma,gn
tricolor,es
ikatútaha,gn
oñangarekóva,gn
registrado,es
arapoteĩ,gn
ombojoapy,gn
omoherakuãvai,gn
campamento,es
rapykuéri,gn
mbovy,gn
opositor,es
coco,es
publicado,es
dólar,es
ykérepe,gn
cuantitativo,es
campante,es
avise,es
aje'ima,gn
patriótica,es
micrófono,es
alambrado,es
mbaetekopio,gn
refrendo,es
henondépe,gn
libro,es
sopa,es
penitenciario,es
dormí,es
oficio,es
oñemopu'ãta,gn
kurepí,gn
realidad,es
hasýva,gn
vyvyntema,gn
visión,es
ruguaitépe,gn
paro,es
arareñóire,gn
teete,gn
jeporavópe,gn
tomas,es
preso,es
ceremonia,es
omomýi,gn
interesante,es
porãvo,gn
frontal,es
transparencia,es
ñanderehe,gn
japukami,gn
omomba'éva,gn
lectura,es
queda,es
demandas,es
multidisciplinario,es
infantes,es
jararápe,gn
eju,gn
discusión,es
ohasava'ekuépe,gn
mbegue,gn
decentes,es
patear,es
mondaha,gn
tape,gn
donadores,es
oityvyro,gn
